"_id","_labels","address","age","areaCode","badge_no","call_date","call_duration","call_time","call_type","charge","code","date","description","email_address","id","last_outcome","latitude","longitude","make","model","name","nhs_no","note","phoneNo","postcode","rank","reg","surname","type","year","_start","_end","_type","rel_type"
"1329",":Crime","","","","","","","","","","","19/08/2017","","","34f309ebafbd1c46b5c4832f63321a10330835a5ae323952419439b69633bb2c","Unable to prosecute suspect","","","","","","","","","","","","","Public order","",,,,
"1340",":Officer","","","","57-6110377","","","","","","","","","","","","","","","","Christian","","","","","Police Constable","","Hannam","","",,,,
"1341",":Officer","","","","18-0221971","","","","","","","","","","","","","","","","Eimile","","","","","Chief Inspector","","Lampet","","",,,,
"1342",":Officer","","","","38-1719233","","","","","","","","","","","","","","","","Wynn","","","","","Chief Inspector","","Makinson","","",,,,
"16943",":PhoneCall","","","","","04/08/2017","38","00:32","CALL","","","","","","","","","","","","","","","","","","","","","",,,,
"16944",":PhoneCall","","","","","27/08/2017","1","14:44","CALL","","","","","","","","","","","","","","","","","","","","","",,,,
"16945",":PhoneCall","","","","","14/08/2017","39","23:49","SMS","","","","","","","","","","","","","","","","","","","","","",,,,
"16946",":PhoneCall","","","","","15/08/2017","3","07:12","SMS","","","","","","","","","","","","","","","","","","","","","",,,,
"16947",":PhoneCall","","","","","19/08/2017","13","09:55","CALL","","","","","","","","","","","","","","","","","","","","","",,,,
"16960",":PostCode","","","","","","","","","","WN3 4NL","","","","","","","","","","","","","","","","","","","",,,,
"16961",":Area","","","WN3","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
"16962",":PostCode","","","","","","","","","","OL11 3HA","","","","","","","","","","","","","","","","","","","",,,,
"16963",":Area","","","OL1","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
"16964",":PostCode","","","","","","","","","","BL1 3AH","","","","","","","","","","","","","","","","","","","",,,,
"16965",":Area","","","BL1","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
"16966",":PostCode","","","","","","","","","","SK16 5AP","","","","","","","","","","","","","","","","","","","",,,,
"16967",":Area","","","SK1","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
"16968",":PostCode","","","","","","","","","","OL7 9PL","","","","","","","","","","","","","","","","","","","",,,,
"16969",":Area","","","OL7","","","","","","","","","","","","","","","","","","","","","","","","","","",,,,
"31238",":Vehicle","","","","","","","","","","","","","","","","","","Toyota","4Runner","","","","","","","RY52 APF","","","2005",,,,
"31239",":Vehicle","","","","","","","","","","","","","","","","","","Jaguar","XJ Series","","","","","","","RH42 TAB","","","1992",,,,
"60148",":Vehicle","","","","","","","","","","","","","","","","","","Audi","Coupe GT","","","","","","","LW72 POF","","","1985",,,,
"60149",":Vehicle","","","","","","","","","","","","","","","","","","Scion","xB","","","","","","","TZ72 UGE","","","2011",,,,
"60150",":Vehicle","","","","","","","","","","","","","","","","","","GMC","Sierra 2500","","","","","","","BN52 ACF","","","2012",,,,
"61506",":Object","","","","","","","","","","","","43 Cannabis Plants, 3kg Prepared Cannabis","","2346erfsdff223","","","","","","","","","","","","","","Evidence","",,,,
"61507",":Object","","","","","","","","","","","","£3,500 currency","","484brolsdfb666","","","","","","","","","","","","","","Evidence","",,,,
"61528",":Object","","","","","","","","","","","","120g Packaged Cannabis","","","","","","","","","","","","","","","","Evidence","",,,,
"61529",":Object","","","","","","","","","","","","£550 currency","","","","","","","","","","","","","","","","Evidence","",,,,
"61530",":Object","","","","","","","","","","","","£830 currency","","","","","","","","","","","","","","","","Evidence","",,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","CURRENT_ADDRESS",""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","CURRENT_ADDRESS",""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3","HAS_PHONE",""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","4","HAS_EMAIL",""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5","6","CURRENT_ADDRESS",""
